pair_index,num_pairs,experiment_response,experiment_spend,spend_response_ratio,budget,iroas,rmse,rmse_std,proportion_cost_in_experiment,rmse_cost_adjusted,rmse_cost_adjusted_std,cihw,std,bias,bias_std,trim_rate,trim_rate_std,trim_rate_cost,trim_rate_cost_std
13,92,5131.0,48588.09969436758,9.469518552790406,10000.0,0,0.022616974190637674,0.0011161937161791177,0.2365173759113173,0.09562500050363301,0.004719288432312207,0.026535961872930863,0.02266588645555871,-0.0005948317138253759,0.0016027202014329883,0.06875,0.001517632141628814,0.39542789297718584,0.006348514415948501
14,91,4844.0,46533.269266302275,9.60637268090468,10000.0,0,0.024832077867280217,0.00125928961311109,0.2265148628711732,0.10962670419293005,0.005559412734109599,0.02748857698899218,0.024859003484416067,-0.0013235887728629456,0.0017577969937370614,0.06752747252747253,0.0018391391006938413,0.40060532827483797,0.008554007220800457
15,90,4729.0,45378.72466968561,9.595839431102899,10000.0,0,0.01998251470567291,0.001108778015139345,0.22089476535589583,0.09046169416227663,0.0050194852438125055,0.026007205349862977,0.019786384989601762,-0.0031236786263122212,0.001399108700131512,0.06488888888888888,0.001463919732749035,0.39469021097635393,0.006737370855946738
16,89,4582.0,42817.9338817078,9.34481315619987,10000.0,0,0.017896197147059877,0.0008316197018315812,0.2084293361409188,0.08586217985629567,0.0039899359525346475,0.023588588156514254,0.01794023631207456,-0.00017622085013123824,0.0012685662752357058,0.06050561797752809,0.0013296410299672532,0.3662140886302805,0.00605338485732311
17,88,4511.0,41856.98980026303,9.278871602807145,10000.0,0,0.01909004655289857,0.0009294414576724479,0.20375164810680177,0.09369272214618858,0.004561638967382766,0.023871291310771633,0.019092430346677198,0.001315897158530164,0.0013500386967467272,0.060170454545454534,0.0013402069671096131,0.37197315731575015,0.0064416425069008095
18,87,4421.0,40826.79492137003,9.234742122001816,10000.0,0,0.019177014677286462,0.0010189686593242854,0.1987368607212952,0.09649450337338247,0.0051272252949253715,0.024763399950862974,0.019027325889077035,-0.0027438945125796963,0.0013454351164012726,0.055517241379310335,0.0014915846421431395,0.3579749789048,0.0066445255115076315
19,86,4361.0,40080.604689501895,9.190691283994932,10000.0,0,0.019479191473008885,0.0010283304284316702,0.19510455246717004,0.09983975887126786,0.005270663423421172,0.024338755769589115,0.019356298123445793,-0.002577974938522386,0.0013686969661756965,0.05726744186046512,0.0013815921827289497,0.3676646865463512,0.007270853734586174
20,85,4306.0,39244.57648214788,9.11392858387085,10000.0,0,0.019370749548054927,0.0010970887716184481,0.19103493050140016,0.10139899282928759,0.005742870001517378,0.02445621423600062,0.01938500204460466,-0.0011517488031207801,0.0013707266399055043,0.06111764705882353,0.0015640087436825892,0.39026799665670425,0.007709754153885504
21,84,4078.0,35574.723176731284,8.723571156628564,10000.0,0,0.020441508716590624,0.000985457213089933,0.1731708016460536,0.11804246744997653,0.005690666115319623,0.024192091478158134,0.020427416184580317,-0.0016316688672297925,0.0014444364506236572,0.06380952380952382,0.00155159446706167,0.41837305997999996,0.007630776700164504
22,83,3955.0,34587.35278521172,8.74522194316352,10000.0,0,0.01830179090148934,0.0008500085801192172,0.16836447549780523,0.10870339985543993,0.0050486219115165884,0.02266455443787702,0.018323327794550884,-0.0009433612471423057,0.0012956549337430877,0.05783132530120482,0.0014694040243794775,0.3949955749814851,0.006789460651171088
23,82,3881.0,33543.32721347467,8.642959859179252,10000.0,0,0.019341166822395717,0.0008310172146554402,0.16328236300184804,0.11845227167723445,0.0050894487278214775,0.02328325886186119,0.019047307909103858,-0.003618673121525558,0.0013468480585875496,0.05390243902439025,0.0016088793402100022,0.384223206709338,0.008006392751388626
24,81,3708.0,32063.34814675501,8.647073394486249,10000.0,0,0.018203933155666912,0.0008925860947484764,0.15607811407122374,0.11663347717899666,0.005718842132735914,0.023187191761712765,0.018242838477574852,0.000496016527646029,0.001289963479558405,0.057222222222222216,0.0015902381951383826,0.40837086282735946,0.007041713512814814
25,80,3608.0,30858.87367498127,8.552902903265318,10000.0,0,0.019006350266304022,0.0009143617023848709,0.1502149676792458,0.12652767270761128,0.006087021263668668,0.02210979316355827,0.019050243173893595,0.00037966338495810085,0.00134705561315129,0.05518750000000001,0.001540587556370692,0.3967141492206454,0.008118345184950183
26,79,3500.0,30067.322465963698,8.590663561703913,10000.0,0,0.016716309704034815,0.0008792186754827721,0.1463618510512257,0.11421220477858136,0.006007157392229559,0.021193381082674385,0.016681293318484492,-0.0016002471927110942,0.001179545562446223,0.047721518987341775,0.0013863780600724307,0.38767528775602045,0.0075418023515215074
27,78,3437.0,29335.388647186093,8.535172722486498,10000.0,0,0.015971172233597158,0.000771529006207205,0.14279894023053152,0.11184377284462786,0.005402904285995857,0.020622378038299652,0.015970325081243124,0.0011411904883255025,0.0011292725162700614,0.05096153846153846,0.0013675809255058896,0.40955444091063703,0.00667061764100124
28,77,3162.0,25953.497730887164,8.20793729629575,10000.0,0,0.01561820470234881,0.0009990428069753022,0.12633655602178945,0.1236237965807388,0.007907788833526504,0.018817052582437453,0.015604544149044275,-0.0012821969487937063,0.001103407898511407,0.05142857142857144,0.00131761982368889,0.4008979273394946,0.006550856343322717
29,76,3008.0,24584.907481313403,8.173174029691955,10000.0,0,0.017731815037694682,0.0011331438650917878,0.11967452608929295,0.14816699607788222,0.009468546917380841,0.018524511864659855,0.017617663199293452,-0.002363708571354595,0.0012457569116881085,0.05243421052631578,0.0014067894179809722,0.4079709387537011,0.008017593638822531
30,75,2940.0,24214.387317088404,8.236186162274967,10000.0,0,0.01652521865617977,0.0008913940176200913,0.11787090632404236,0.14019760406991194,0.007562460028682005,0.01922608087192874,0.016434070094236464,-0.0020867642587475313,0.0011620642406129649,0.05380000000000001,0.001486593729197577,0.4240668591317288,0.007787098856009746
31,74,2764.0,23245.137919458582,8.409963067821485,10000.0,0,0.015121643287937652,0.0010073335093903164,0.11315278963347328,0.13363915584335104,0.008902418691163433,0.017753892475445912,0.015109215574402188,-0.0012317233578368913,0.0010683828791069184,0.05013513513513514,0.0012873261491523136,0.40582695148360204,0.0079975036239491
32,73,2709.0,22408.35666783269,8.271818629690916,10000.0,0,0.015634165771878625,0.0010556560001177017,0.1090795019953217,0.14332817335881454,0.009677858633448635,0.01752183728305349,0.01566787202795946,0.0004151343968995499,0.0011078858557733158,0.05095890410958903,0.0013909033299674687,0.4140147812453723,0.008078606402853242
33,72,2660.0,21543.743260852032,8.099151601824072,10000.0,0,0.016642401755836242,0.0011033334290550987,0.1048707328628974,0.15869443553516177,0.010520889851104026,0.018494430676545527,0.016591427870620977,-0.0017522656221511724,0.0011731911156883572,0.04847222222222222,0.0014436107094329834,0.42494902978341415,0.009635781863895862
34,71,2486.0,20156.414571133384,8.107970463046414,10000.0,0,0.013261544255558984,0.0008944447360700143,0.0981174878649915,0.13515984300175635,0.009116058263749676,0.01658776135140434,0.013110933564308412,-0.0021980582360527144,0.000927083003100879,0.04507042253521126,0.0012105250486247339,0.41102140306066187,0.0068473802041722105
35,70,2437.0,19863.639835287308,8.150857544229506,10000.0,0,0.015564175497809656,0.0009175475982024082,0.09669231765477498,0.16096599890571603,0.009489353657633592,0.01703408059774694,0.015363254153499881,-0.002719214708792274,0.0010863461193032157,0.04378571428571429,0.001219762994138852,0.40406487464774943,0.0077523232265285175
36,69,2370.0,19362.266831022996,8.169732840094092,10000.0,0,0.013949828826499916,0.0010419811241612678,0.09425173183093559,0.14800607432362597,0.011055299503995593,0.01692327475823272,0.013910090743445274,-0.0014403308370720008,0.0009835919491610378,0.04260869565217391,0.0012483213241852656,0.4048618416124033,0.008410597672744095
37,68,2342.0,19269.391919149788,8.227750605956357,10000.0,0,0.01438443534178296,0.0009552454011881985,0.09379963490633016,0.1533527860332025,0.010183892529455174,0.016740672083829945,0.014420265661967979,8.739936504665001e-05,0.0010196667636089077,0.044044117647058824,0.0012444234077026858,0.4146814101352783,0.008308902199991744
38,67,1834.0,13142.094370728653,7.165809362447466,10000.0,0,0.009007871739716976,0.0004347688889045373,0.06397314762453983,0.1408070741271701,0.006796115324138933,0.01109097919547906,0.008990513383405773,-0.0008465040085430264,0.0006357252979754633,0.04007462686567164,0.001195048972567548,0.14867194831523742,0.0061001173402582655
39,66,1755.0,12520.916809464756,7.13442553245855,10000.0,0,0.007797764088579846,0.00044285712346567416,0.06094937662527683,0.12793837312760914,0.007265982820274049,0.010640546538270157,0.007803403846333336,0.0004652727695883608,0.0005517839776079489,0.04318181818181818,0.0013317941057969932,0.15346635628250355,0.005389928923794151
40,65,1726.0,12244.097113240274,7.093914897589961,10000.0,0,0.00837156128356544,0.000469522134656818,0.05960187243055789,0.14045802492730647,0.007877640676538443,0.010691744717185632,0.008382368519614124,-0.0004126219042501727,0.0005927229622623788,0.04315384615384616,0.0013738684418657765,0.16209094866968052,0.0058048282916634605
41,64,1715.0,12206.914055760573,7.117734143300626,10000.0,0,0.00792662677255392,0.0004591037530831591,0.059420872571769874,0.13339802041748816,0.007726304465297832,0.010479690616838703,0.007945813425935245,-0.00010554973517085093,0.0005618538555521924,0.0471875,0.0013653944406812326,0.17325022803380488,0.005815343702080765
