pair_index,num_pairs,experiment_response,experiment_spend,spend_response_ratio,budget,iroas,rmse,rmse_std,proportion_cost_in_experiment,rmse_cost_adjusted,rmse_cost_adjusted_std,cihw,std,bias,bias_std,trim_rate,trim_rate_std,trim_rate_cost,trim_rate_cost_std
10,77,230225079.537208,2684039.37577594,0.01165832749920782,14291.875391981603,0,2.6506397505381445,0.11318584841351038,0.7674286342693213,3.4539234427470284,0.14748713216998488,3.4858144931804507,2.651137195016933,0.18029226956438182,0.18746370884523558,0.07798701298701301,0.0007619388132421952,0.2436843622836897,0.0021052322930005755
11,76,225912736.575818,2634990.3908965397,0.011663753141302935,14291.875391981603,0,2.429903960165963,0.1138062275493165,0.7534044005646974,3.225231971494569,0.1510559633896691,3.3142267921237574,2.4330653162055746,0.11927051971174672,0.17204369841587533,0.07184210526315789,0.0009775525920799138,0.228382597663502,0.002655211706009892
12,75,223465778.870438,2606599.94306264,0.011664425560988942,14291.875391981603,0,2.322307616102294,0.10311131724416626,0.7452869180850801,3.115991384994611,0.1383511701897273,3.2145842164200205,2.324372782459286,-0.13197490719218044,0.1643579756482405,0.06813333333333334,0.001003800705849071,0.22567549601847664,0.0026124987113628193
13,74,217804174.027328,2545136.90949864,0.011685436795987665,14291.875391981603,0,2.5717810830991636,0.1250507597812212,0.7277132221356927,3.534058479178791,0.17184071414041682,3.1986868672615834,2.570856672746775,0.19442332097544196,0.18178701867579294,0.06966216216216217,0.0010628362502436988,0.23117452490898027,0.0028373627982662348
14,73,212885292.084748,2489593.0675212396,0.011694528274551497,14291.875391981603,0,2.5420407023277964,0.11920107577190593,0.7118319592989788,3.571124714365495,0.16745676309517862,3.0428797541003787,2.5464291128757615,0.10045502239543051,0.18005972935252954,0.075,0.0010983721984381438,0.24701930825512697,0.0029029205156172384
15,72,204793669.248748,2399660.63123524,0.011717455134418957,14291.875391981603,0,2.193524845605152,0.09783182309876724,0.6861182058502147,3.1970072021146994,0.14258741753913573,2.874232328658492,2.198354379184718,-0.05434226429661335,0.1554471288972657,0.07166666666666666,0.0013586889762659772,0.22153130469546642,0.0037272871364977147
16,71,202910443.19724798,2377442.0697221397,0.011716706307772651,14291.875391981603,0,2.1043095749732985,0.0836589933161131,0.6797654077238838,3.0956408653087197,0.12307038923359692,2.732351486781198,2.108811808268124,0.05715750910146848,0.1491155129872656,0.06915492957746479,0.0016011873571790828,0.22375849258430663,0.004059877420159161
17,70,199690326.716958,2340706.9747779397,0.011721684336245635,14291.875391981603,0,2.22883012901964,0.11546263021269151,0.6692619985722833,3.3302804189903763,0.17252231631110762,2.764643493756273,2.2256070140237885,0.19779736110014232,0.15737418118725643,0.06957142857142856,0.0015989882453855439,0.2286579410132667,0.004132959346244524
18,69,196404694.54968798,2303468.1826979397,0.011728172730184871,14291.875391981603,0,2.3083070994804573,0.10471390434260382,0.6586145708162982,3.504792031277872,0.15899117478196637,2.7505066903597446,2.313807981555999,0.03664460229278565,0.16361093141218047,0.0622463768115942,0.0011704625831329093,0.2108512091909394,0.0032390578056853895
19,68,192095644.621938,2254419.19781854,0.011735920417432918,14291.875391981603,0,2.0071816302023704,0.09862362893255387,0.6445903371116743,3.113887246892795,0.15300202819433123,2.6094387180084753,2.0118835775950967,-0.03661890869460558,0.14226165206753444,0.05764705882352941,0.0015787864451614416,0.19878606345535155,0.004374599868009363
