zip_code,dma_code,dma_name,city,state,state_name,geo_key_zip,geo_key_city,geo_key_dma,geo_key_state
52531,679,DES MOINES-AMES,ALBIA,IA,Iowa,52531,"ALBIA, IA",DES MOINES-AMES,IA
52533,631,OTTUMWA-KIRKSVILLE,BATAVIA,IA,Iowa,52533,"BATAVIA, IA",OTTUMWA-KIRKSVILLE,IA
52534,679,DES MOINES-AMES,BEACON,IA,Iowa,52534,"BEACON, IA",DES MOINES-AMES,IA
52535,631,OTTUMWA-KIRKSVILLE,BIRMINGHAM,IA,Iowa,52535,"BIRMINGHAM, IA",OTTUMWA-KIRKSVILLE,IA
52536,631,OTTUMWA-KIRKSVILLE,BLAKESBURG,IA,Iowa,52536,"BLAKESBURG, IA",OTTUMWA-KIRKSVILLE,IA
52537,631,OTTUMWA-KIRKSVILLE,BLOOMFIELD,IA,Iowa,52537,"BLOOMFIELD, IA",OTTUMWA-KIRKSVILLE,IA
52538,631,OTTUMWA-KIRKSVILLE,,,,52538,,OTTUMWA-KIRKSVILLE,
52540,637,CEDAR RAPIDS-WTRLO-IWC &DUB,BRIGHTON,IA,Iowa,52540,"BRIGHTON, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52542,631,OTTUMWA-KIRKSVILLE,CANTRIL,IA,Iowa,52542,"CANTRIL, IA",OTTUMWA-KIRKSVILLE,IA
52543,679,DES MOINES-AMES,CEDAR,IA,Iowa,52543,"CEDAR, IA",DES MOINES-AMES,IA
52544,679,DES MOINES-AMES,CENTERVILLE,IA,Iowa,52544,"CENTERVILLE, IA",DES MOINES-AMES,IA
52548,631,OTTUMWA-KIRKSVILLE,CHILLICOTHE,IA,Iowa,52548,"CHILLICOTHE, IA",OTTUMWA-KIRKSVILLE,IA
52549,679,DES MOINES-AMES,CENTERVILLE,IA,Iowa,52549,"CENTERVILLE, IA",DES MOINES-AMES,IA
52550,637,CEDAR RAPIDS-WTRLO-IWC &DUB,SIGOURNEY,IA,Iowa,52550,"SIGOURNEY, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52551,631,OTTUMWA-KIRKSVILLE,DOUDS,IA,Iowa,52551,"DOUDS, IA",OTTUMWA-KIRKSVILLE,IA
52552,631,OTTUMWA-KIRKSVILLE,BLOOMFIELD,IA,Iowa,52552,"BLOOMFIELD, IA",OTTUMWA-KIRKSVILLE,IA
52553,631,OTTUMWA-KIRKSVILLE,EDDYVILLE,IA,Iowa,52553,"EDDYVILLE, IA",OTTUMWA-KIRKSVILLE,IA
52554,631,OTTUMWA-KIRKSVILLE,ELDON,IA,Iowa,52554,"ELDON, IA",OTTUMWA-KIRKSVILLE,IA
