dma_name,dma_code,state
SAVANNAH,507,"['GA', 'SC']"
SEATTLE - TACOMA,819,['WA']
SHERMAN - ADA,657,"['OK', 'TX']"
SHREVEPORT,612,"['AR', 'LA', 'OK', 'TX']"
SIOUX CITY,624,"['IA', 'NE']"
SIOUX FALLS (MITCHELL),725,"['MN', 'SD']"
SOUTH BEND - ELKHART,588,"['IN', 'MI']"
SPOKANE,881,"['ID', 'WA']"
"SPRINGFIELD, MO",619,"['AR', 'MO']"
ST. JOSEPH,638,"['KS', 'MO']"
ST. LOUIS,609,"['IL', 'MO']"
SYRACUSE,555,['NY']
TALLAHASSEE - THOMASVILLE,530,"['FL', 'GA']"
TAMPA - ST. PETE (SARASOTA),539,['FL']
TERRE HAUTE,581,"['IL', 'IN']"
TOLEDO,547,"['MI', 'OH']"
TOPEKA,605,['KS']
TRAVERSE CITY - CADILLAC,540,['MI']
"TRI - CITIES, TN - VA",531,"['KY', 'TN', 'VA']"
TUCSON (SIERRA VISTA),789,['AZ']
TULSA,671,"['KS', 'OK']"
TWIN FALLS,760,['ID']
TYLER - LONGVIEW (LFKN & NCGD),709,['TX']
UTICA,526,['NY']
VICTORIA,626,['TX']
WACO - TEMPLE - BRYAN,625,['TX']
"WASHINGTON, DC (HAGRSTWN)",511,"['DC', 'MD', 'VA', 'WV']"
WATERTOWN,549,['NY']
WAUSAU - RHINELANDER,705,['WI']
WEST PALM BEACH - FT. PIERCE,548,['FL']
WHEELING - STEUBENVILLE,554,"['OH', 'WV']"
WICHITA - HUTCHINSON PLUS,678,['KS']
WICHITA FALLS & LAWTON,627,"['OK', 'TX']"
WILKES BARRE - SCRANTON,577,['PA']
WILMINGTON,550,['NC']
YAKIMA - PASCO - RCHLND - KNNWCK,810,"['OR', 'WA']"
YOUNGSTOWN,536,"['OH', 'PA']"
YUMA - EL CENTRO,771,"['AZ', 'CA']"
ZANESVILLE,596,['OH']
